state,n_crops,avg_cv_pct,max_cv_pct,total_obs,lat,lon,risk_tier
ALABAMA,1,4.82,4.82,24,32.806671,-86.79113,Low
ARKANSAS,3,15.5,21.1,260,34.969704,-92.373123,Low
CALIFORNIA,1,23.3,23.3,47,36.116203,-119.681564,Moderate
COLORADO,2,29.91,29.95,360,39.059811,-105.311104,High
IDAHO,1,21.48,21.48,178,44.240459,-114.478828,Moderate
ILLINOIS,3,24.46,28.45,534,40.349457,-88.986137,Moderate
INDIANA,3,23.15,27.38,534,39.849426,-86.258278,Moderate
IOWA,2,25.23,29.4,360,42.011539,-93.210526,High
KANSAS,3,27.25,30.12,540,38.5266,-96.726486,High
KENTUCKY,2,22.57,25.74,358,37.66814,-84.670067,Moderate
LOUISIANA,1,18.27,18.27,154,31.16996,-91.867805,Low
MICHIGAN,3,22.66,27.43,539,43.326618,-84.536095,Moderate
MINNESOTA,3,25.72,29.41,540,45.694454,-93.900192,High
MISSISSIPPI,1,18.47,18.47,149,32.741646,-89.678696,Low
MISSOURI,3,25.01,29.64,540,38.456085,-92.288368,High
MONTANA,1,25.56,25.56,179,46.921925,-110.454353,High
NEBRASKA,3,26.95,30.21,540,41.12537,-98.268082,High
NEW YORK,1,5.08,5.08,24,42.165726,-74.948051,Low
NORTH CAROLINA,3,22.43,24.5,531,35.630066,-79.806419,Moderate
NORTH DAKOTA,3,26.47,31.17,540,47.528912,-99.784012,High
OHIO,3,22.89,27.24,540,40.388783,-82.764915,Moderate
OKLAHOMA,1,28.74,28.74,180,35.565342,-96.928917,High
OREGON,1,21.95,21.95,153,44.572021,-122.070938,Moderate
PENNSYLVANIA,1,26.82,26.82,180,40.590752,-77.209755,High
SOUTH DAKOTA,3,26.73,32.1,540,44.299782,-99.438828,High
TENNESSEE,2,23.34,27.39,359,35.747845,-86.692345,Moderate
TEXAS,2,27.86,29.31,354,31.054487,-97.563461,High
WASHINGTON,1,22.1,22.1,180,47.400902,-121.490494,Moderate
WISCONSIN,2,24.61,28.73,360,44.268543,-89.616508,Moderate
